2025-11-12 11:11:03.346879: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

========================================
 Verificando disponibilidad de GPU (PyTorch)...
========================================
✅ ¡Éxito! GPU disponible.
   Dispositivos encontrados: 1
   Usando dispositivo 0: NVIDIA GeForce RTX 2060 with Max-Q Design
  0%|          | 0/1000 [00:00<?, ?it/s]  0%|          | 1/1000 [00:02<38:36,  2.32s/it]  Episode 1, Step 10, Buffer Size: 10, Avg Loss: 0.0000, Reward: -427
  Episode 1, Step 680, Buffer Size: 680, Avg Loss: 48.6010, Reward: -35394
  Episode 1, Step 690, Buffer Size: 690, Avg Loss: 43.3005, Reward: -35722
  Episode 1, Step 700, Buffer Size: 700, Avg Loss: 46.7196, Reward: -36380
  Episode 1, Step 710, Buffer Size: 710, Avg Loss: 49.3754, Reward: -37247
  Episode 1, Step 720, Buffer Size: 720, Avg Loss: 50.4962, Reward: -37916
  Episode 1, Step 730, Buffer Size: 730, Avg Loss: 46.0454, Reward: -38134
  Episode 1, Step 740, Buffer Size: 740, Avg Loss: 49.6767, Reward: -38704
  Episode 1, Step 750, Buffer Size: 750, Avg Loss: 48.1614, Reward: -38999
  Episode 1, Step 760, Buffer Size: 760, Avg Loss: 48.0039, Reward: -39855
  Episode 1, Step 770, Buffer Size: 770, Avg Loss: 45.0830, Reward: -40249
  Episode 1, Step 780, Buffer Size: 780, Avg Loss: 48.0940, Reward: -40786
  Episode 1, Step 790, Buffer Size: 790, Avg Loss: 45.3572, Reward: -41015
  Episode 1, Step 800, Buffer Size: 800, Avg Loss: 47.3468, Reward: -41684
  Episode 1, Step 810, Buffer Size: 810, Avg Loss: 46.0462, Reward: -41902
  Episode 1, Step 820, Buffer Size: 820, Avg Loss: 49.3795, Reward: -42142
  Episode 1, Step 830, Buffer Size: 830, Avg Loss: 45.3452, Reward: -43020
  Episode 1, Step 840, Buffer Size: 840, Avg Loss: 49.0876, Reward: -43326
  Episode 1, Step 850, Buffer Size: 850, Avg Loss: 49.5678, Reward: -43786
  Episode 1, Step 860, Buffer Size: 860, Avg Loss: 44.6901, Reward: -44543
  Episode 1, Step 870, Buffer Size: 870, Avg Loss: 46.8753, Reward: -44981
  Episode 1, Step 880, Buffer Size: 880, Avg Loss: 45.0439, Reward: -45386
  Episode 1, Step 890, Buffer Size: 890, Avg Loss: 48.3402, Reward: -46352
  Episode 1, Step 900, Buffer Size: 900, Avg Loss: 51.3517, Reward: -47208
  Episode 1, Step 910, Buffer Size: 910, Avg Loss: 53.0085, Reward: -47536
